"29 May 2023, 18:36",U2,U218 Singles,With or Without You, Rock, Alternative
"29 May 2023, 18:31",Anathema,Hindsight,Angelica, Rock, Progressive
"29 May 2023, 18:25",Phil Collins,Face Value (Deluxe Editon),In The Air Tonight - 2015 Remastered, Pop, Rock
"29 May 2023, 18:20",Ole Børud,Stepping Up,Driving, Pop, Funk
"29 May 2023, 18:11",Zero 7,Simple Things,Destiny, Electronic, Downtempo
"29 May 2023, 18:06",Elton John,Cold Heart (PNAU Remix),Cold Heart - PNAU Remix, Pop, Rock
"29 May 2023, 18:03",Elton John,Cold Heart (PNAU Remix),Cold Heart - PNAU Remix, Pop, Rock
"29 May 2023, 14:56",Plini,Handmade Cities,Every Piece Matters, Progressive Metal, Instrumental
"29 May 2023, 14:52",Plini,Impulse Voices,I'll Tell You Someday, Progressive Metal, Instrumental
"29 May 2023, 14:36",Plini,Handmade Cities,Electric Sunrise, Progressive Metal, Instrumental
"29 May 2023, 6:19",Linkin Park,Minutes to Midnight,Bleed It Out, Rock, Alternative
